Date,Name,Open,High,Low,Close,Adj_Close,30-day_arithmetic_returns,Volatility
2022-12-14,AAPL,145.3500061,146.6600037,141.1600037,143.2100067,142.7941742,-0.001316974,0.002026549
2022-12-15,AAPL,141.1100006,141.8000031,136.0299988,136.5,136.103653,-0.001635282,0.002027559
2022-12-16,AAPL,136.6900024,137.6499939,133.7299957,134.5099945,134.1194305,-0.000707742,0.001953998
2022-12-19,AAPL,135.1100006,135.1999969,131.3200073,132.3699951,131.9856262,-0.001173156,0.001909455
2022-12-20,AAPL,131.3899994,133.25,129.8899994,132.3000031,131.9158478,-0.001320853,0.001870161
2022-12-21,AAPL,132.9799957,136.8099976,132.75,135.4499969,135.0567017,-0.000666373,0.001807644
2022-12-22,AAPL,134.3500061,134.5599976,130.3000031,132.2299957,131.8460388,-0.000352463,0.001689893
2022-12-23,AAPL,130.9199982,132.4199982,129.6399994,131.8600006,131.4771271,-0.003411548,0.001824145
2022-12-27,AAPL,131.3800049,131.4100037,128.7200012,130.0299988,129.6524353,-0.004516455,0.001951237
2022-12-28,AAPL,129.6699982,131.0299988,125.8700027,126.0400009,125.6740189,-0.005223108,0.002150848
2022-12-29,AAPL,127.9899979,130.4799957,127.7300034,129.6100006,129.2336578,-0.004674609,0.002284348
2022-12-30,AAPL,128.4100037,129.9499969,127.4300003,129.9299927,129.5527191,-0.00431461,0.002380912
2023-01-03,AAPL,130.2799988,130.8999939,124.1699982,125.0699997,124.7068329,-0.00599381,0.002544143
2023-01-04,AAPL,126.8899994,128.6600037,125.0800018,126.3600006,125.9930954,-0.005776062,0.002598535
2023-01-05,AAPL,127.1299973,127.7699966,124.7600021,125.0199966,124.6569824,-0.00540688,0.002639012
2023-01-06,AAPL,126.0100021,130.2899933,124.8899994,129.6199951,129.2436218,-0.004669112,0.002573825
2023-01-09,AAPL,130.4700012,133.4100037,129.8899994,130.1499939,129.7720795,-0.004730362,0.002456994
2023-01-10,AAPL,130.2599945,131.2599945,128.1199951,130.7299957,130.3504028,-0.003928696,0.002394543
2023-01-11,AAPL,131.25,133.5099945,130.4600067,133.4900055,133.1023865,-0.00234948,0.002280887
2023-01-12,AAPL,133.8800049,134.2599945,131.4400024,133.4100037,133.0226135,-0.001664514,0.002240653
2023-01-13,AAPL,132.0299988,134.9199982,131.6600037,134.7599945,134.3686981,-0.002947005,0.002131955
2023-01-17,AAPL,134.8300018,137.2899933,134.1300049,135.9400024,135.5452728,-0.002718175,0.002002464
2023-01-18,AAPL,136.8200073,138.6100006,135.0299988,135.2100067,134.8173981,-0.0027848,0.001853361
2023-01-19,AAPL,134.0800018,136.25,133.7700043,135.2700043,134.8772278,-0.0025039,0.001765784
2023-01-20,AAPL,135.2799988,138.0200043,134.2200012,137.8699951,137.4696655,-0.001017543,0.00176543
2023-01-23,AAPL,138.1199951,143.3200073,137.8999939,141.1100006,140.7002563,0.0002253,0.001844541
2023-01-24,AAPL,140.3099976,143.1600037,140.3000031,142.5299988,142.1161346,0.000156309,0.001893784
2023-01-25,AAPL,140.8899994,142.4299927,138.8099976,141.8600006,141.4480743,0.000114117,0.001906382
2023-01-26,AAPL,143.1699982,144.25,141.8999939,143.9600067,143.5419922,6.12e-05,0.00196705
2023-01-27,AAPL,143.1600037,147.2299957,143.0800018,145.9299927,145.5062561,0.000291288,0.002024364
2023-01-30,AAPL,144.9600067,145.5500031,142.8500061,143.0,142.5847778,0.000139882,0.00207063
2023-01-31,AAPL,142.6999969,144.3399963,142.2799988,144.2899933,143.8710175,0.002002387,0.00222103
2023-02-01,AAPL,143.9700012,146.6100006,141.3200073,145.4299927,145.0077057,0.002751704,0.002391366
2023-02-02,AAPL,148.8999939,151.1799927,148.1699982,150.8200073,150.3820648,0.004517448,0.002684456
2023-02-03,AAPL,148.0299988,157.3800049,147.8300018,154.5,154.0513763,0.005348402,0.003002033
2023-02-06,AAPL,152.5700073,153.1000061,150.7799988,151.7299957,151.2894287,0.003957126,0.003175952
2023-02-07,AAPL,150.6399994,155.2299957,150.6399994,154.6499939,154.200943,0.005391038,0.003420401
2023-02-08,AAPL,153.8800049,154.5800018,151.1699982,151.9199982,151.4788818,0.004895884,0.003588746
2023-02-09,AAPL,153.7799988,154.3300018,150.4199982,150.8699951,150.4319153,0.005128109,0.003709412
2023-02-10,AAPL,149.4600067,151.3399963,149.2200012,151.0099945,150.8014069,0.006232824,0.003832123
